INDEX	KEYVALUE	LABEL	RED	GREEN	BLUE	ALPHA	HEMISPHERE	NETWORK	NETWORKKEY	NETWORKSORTEDORDER	GLASSERLABELNAME
22	22	Visual2-41_L-Ctx	100	0	255	255	L	Visual2	2	83	L_PIT_ROI
23	23	Visual2-42_L-Ctx	100	0	255	255	L	Visual2	2	84	L_MT_ROI
24	24	Auditory-08_L-Ctx	250	62	251	255	L	Auditory	8	497	L_A1_ROI
25	25	Language-11_L-Ctx	0	155	155	255	L	Language	6	363	L_PSL_ROI
26	26	Language-12_L-Ctx	0	155	155	255	L	Language	6	364	L_SFL_ROI
27	27	Posterior-Multimodal-05_L-Ctx	177	89	40	255	L	Posterior-Multimodal	10	652	L_PCV_ROI
28	28	Language-13_L-Ctx	0	155	155	255	L	Language	6	365	L_STV_ROI
29	29	Frontoparietal-31_L-Ctx	255	255	0	255	L	Frontoparietal	7	401	L_7Pm_ROI
30	30	Default-38_L-Ctx	255	0	0	255	L	Default	9	543	L_7m_ROI
31	31	Default-39_L-Ctx	255	0	0	255	L	Default	9	544	L_POS1_ROI
32	32	Default-40_L-Ctx	255	0	0	255	L	Default	9	545	L_23d_ROI
33	33	Default-41_L-Ctx	255	0	0	255	L	Default	9	546	L_v23ab_ROI
34	34	Default-42_L-Ctx	255	0	0	255	L	Default	9	547	L_d23ab_ROI
35	35	Default-43_L-Ctx	255	0	0	255	L	Default	9	548	L_31pv_ROI
36	36	Somatomotor-23_L-Ctx	0	255	255	255	L	Somatomotor	3	155	L_5m_ROI
37	37	Cingulo-Opercular-31_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	221	L_5mv_ROI
38	38	Cingulo-Opercular-32_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	222	L_23c_ROI
39	39	Somatomotor-24_L-Ctx	0	255	255	255	L	Somatomotor	3	156	L_5L_ROI
40	40	Somatomotor-25_L-Ctx	0	255	255	255	L	Somatomotor	3	157	L_24dd_ROI
41	41	Somatomotor-26_L-Ctx	0	255	255	255	L	Somatomotor	3	158	L_24dv_ROI
42	42	Somatomotor-27_L-Ctx	0	255	255	255	L	Somatomotor	3	159	L_7AL_ROI
43	43	Cingulo-Opercular-33_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	223	L_SCEF_ROI
44	44	Cingulo-Opercular-34_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	224	L_6ma_ROI
45	45	Cingulo-Opercular-35_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	225	L_7Am_ROI
46	46	Dorsal-Attention-13_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	316	L_7PL_ROI
47	47	Somatomotor-28_L-Ctx	0	255	255	255	L	Somatomotor	3	160	L_7PC_ROI
48	48	Visual2-43_L-Ctx	100	0	255	255	L	Visual2	2	85	L_LIPv_ROI
49	49	Visual2-44_L-Ctx	100	0	255	255	L	Visual2	2	86	L_VIP_ROI
50	50	Dorsal-Attention-14_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	317	L_MIP_ROI
51	51	Somatomotor-29_L-Ctx	0	255	255	255	L	Somatomotor	3	161	L_1_ROI
52	52	Somatomotor-30_L-Ctx	0	255	255	255	L	Somatomotor	3	162	L_2_ROI
53	53	Somatomotor-31_L-Ctx	0	255	255	255	L	Somatomotor	3	163	L_3a_ROI
54	54	Somatomotor-32_L-Ctx	0	255	255	255	L	Somatomotor	3	164	L_6d_ROI
55	55	Somatomotor-33_L-Ctx	0	255	255	255	L	Somatomotor	3	165	L_6mp_ROI
56	56	Somatomotor-34_L-Ctx	0	255	255	255	L	Somatomotor	3	166	L_6v_ROI
57	57	Cingulo-Opercular-36_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	226	L_p24pr_ROI
58	58	Cingulo-Opercular-37_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	227	L_33pr_ROI
59	59	Cingulo-Opercular-38_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	228	L_a24pr_ROI
60	60	Cingulo-Opercular-39_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	229	L_p32pr_ROI
61	61	Default-44_L-Ctx	255	0	0	255	L	Default	9	549	L_a24_ROI
62	62	Default-45_L-Ctx	255	0	0	255	L	Default	9	550	L_d32_ROI
63	63	Frontoparietal-32_L-Ctx	255	255	0	255	L	Frontoparietal	7	402	L_8BM_ROI
64	64	Default-46_L-Ctx	255	0	0	255	L	Default	9	551	L_p32_ROI
65	65	Default-47_L-Ctx	255	0	0	255	L	Default	9	552	L_10r_ROI
66	66	Default-48_L-Ctx	255	0	0	255	L	Default	9	553	L_47m_ROI
67	67	Default-49_L-Ctx	255	0	0	255	L	Default	9	554	L_8Av_ROI
68	68	Default-50_L-Ctx	255	0	0	255	L	Default	9	555	L_8Ad_ROI
69	69	Default-51_L-Ctx	255	0	0	255	L	Default	9	556	L_9m_ROI
70	70	Default-52_L-Ctx	255	0	0	255	L	Default	9	557	L_8BL_ROI
71	71	Default-53_L-Ctx	255	0	0	255	L	Default	9	558	L_9p_ROI
72	72	Default-54_L-Ctx	255	0	0	255	L	Default	9	559	L_10d_ROI
73	73	Frontoparietal-33_L-Ctx	255	255	0	255	L	Frontoparietal	7	403	L_8C_ROI
74	74	Language-14_L-Ctx	0	155	155	255	L	Language	6	366	L_44_ROI
75	75	Language-15_L-Ctx	0	155	155	255	L	Language	6	367	L_45_ROI
76	76	Default-55_L-Ctx	255	0	0	255	L	Default	9	560	L_47l_ROI
77	77	Frontoparietal-34_L-Ctx	255	255	0	255	L	Frontoparietal	7	404	L_a47r_ROI
78	78	Cingulo-Opercular-40_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	230	L_6r_ROI
79	79	Language-16_L-Ctx	0	155	155	255	L	Language	6	368	L_IFJa_ROI
80	80	Frontoparietal-35_L-Ctx	255	255	0	255	L	Frontoparietal	7	405	L_IFJp_ROI
81	81	Language-17_L-Ctx	0	155	155	255	L	Language	6	369	L_IFSp_ROI
82	82	Frontoparietal-36_L-Ctx	255	255	0	255	L	Frontoparietal	7	406	L_IFSa_ROI
83	83	Frontoparietal-37_L-Ctx	255	255	0	255	L	Frontoparietal	7	407	L_p9-46v_ROI
84	84	Cingulo-Opercular-41_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	231	L_46_ROI
85	85	Frontoparietal-38_L-Ctx	255	255	0	255	L	Frontoparietal	7	408	L_a9-46v_ROI
86	86	Cingulo-Opercular-42_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	232	L_9-46d_ROI
87	87	Default-56_L-Ctx	255	0	0	255	L	Default	9	561	L_9a_ROI
88	88	Default-57_L-Ctx	255	0	0	255	L	Default	9	562	L_10v_ROI
89	89	Frontoparietal-39_L-Ctx	255	255	0	255	L	Frontoparietal	7	409	L_a10p_ROI
90	90	Default-58_L-Ctx	255	0	0	255	L	Default	9	563	L_10pp_ROI
91	91	Frontoparietal-40_L-Ctx	255	255	0	255	L	Frontoparietal	7	410	L_11l_ROI
92	92	Frontoparietal-41_L-Ctx	255	255	0	255	L	Frontoparietal	7	411	L_13l_ROI
93	93	Default-59_L-Ctx	255	0	0	255	L	Default	9	564	L_OFC_ROI
94	94	Default-60_L-Ctx	255	0	0	255	L	Default	9	565	L_47s_ROI
95	95	Dorsal-Attention-15_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	318	L_LIPd_ROI
96	96	Dorsal-Attention-16_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	319	L_6a_ROI
97	97	Frontoparietal-42_L-Ctx	255	255	0	255	L	Frontoparietal	7	412	L_i6-8_ROI
98	98	Frontoparietal-43_L-Ctx	255	255	0	255	L	Frontoparietal	7	413	L_s6-8_ROI
99	99	Cingulo-Opercular-43_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	233	L_43_ROI
100	100	Somatomotor-35_L-Ctx	0	255	255	255	L	Somatomotor	3	167	L_OP4_ROI
101	101	Somatomotor-36_L-Ctx	0	255	255	255	L	Somatomotor	3	168	L_OP1_ROI
102	102	Somatomotor-37_L-Ctx	0	255	255	255	L	Somatomotor	3	169	L_OP2-3_ROI
103	103	Auditory-09_L-Ctx	250	62	251	255	L	Auditory	8	498	L_52_ROI
104	104	Auditory-10_L-Ctx	250	62	251	255	L	Auditory	8	499	L_RI_ROI
105	105	Cingulo-Opercular-44_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	234	L_PFcm_ROI
106	106	Cingulo-Opercular-45_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	235	L_PoI2_ROI
107	107	Auditory-11_L-Ctx	250	62	251	255	L	Auditory	8	500	L_TA2_ROI
108	108	Cingulo-Opercular-46_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	236	L_FOP4_ROI
109	109	Cingulo-Opercular-47_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	237	L_MI_ROI
110	110	Orbito-Affective-04_L-Ctx	65	125	0	168	L	Orbito-Affective	12	696	L_Pir_ROI
111	111	Frontoparietal-44_L-Ctx	255	255	0	255	L	Frontoparietal	7	414	L_AVI_ROI
112	112	Orbito-Affective-05_L-Ctx	65	125	0	168	L	Orbito-Affective	12	697	L_AAIC_ROI
113	113	Cingulo-Opercular-48_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	238	L_FOP1_ROI
114	114	Cingulo-Opercular-49_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	239	L_FOP3_ROI
115	115	Somatomotor-38_L-Ctx	0	255	255	255	L	Somatomotor	3	170	L_FOP2_ROI
116	116	Dorsal-Attention-17_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	320	L_PFt_ROI
117	117	Dorsal-Attention-18_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	321	L_AIP_ROI
118	118	Default-61_L-Ctx	255	0	0	255	L	Default	9	566	L_EC_ROI
119	119	Default-62_L-Ctx	255	0	0	255	L	Default	9	567	L_PreS_ROI
120	120	Default-63_L-Ctx	255	0	0	255	L	Default	9	568	L_H_ROI
121	121	Visual1-05_L-Ctx	0	0	255	255	L	Visual1	1	2	L_ProS_ROI
122	122	Ventral-Multimodal-03_L-Ctx	255	157	0	255	L	Ventral-Multimodal	11	688	L_PeEc_ROI
123	123	Language-18_L-Ctx	0	155	155	255	L	Language	6	370	L_STGa_ROI
124	124	Auditory-12_L-Ctx	250	62	251	255	L	Auditory	8	501	L_PBelt_ROI
125	125	Language-19_L-Ctx	0	155	155	255	L	Language	6	371	L_A5_ROI
126	126	Default-64_L-Ctx	255	0	0	255	L	Default	9	569	L_PHA1_ROI
127	127	Dorsal-Attention-19_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	322	L_PHA3_ROI
128	128	Language-20_L-Ctx	0	155	155	255	L	Language	6	372	L_STSda_ROI
129	129	Language-21_L-Ctx	0	155	155	255	L	Language	6	373	L_STSdp_ROI
130	130	Default-65_L-Ctx	255	0	0	255	L	Default	9	570	L_STSvp_ROI
131	131	Default-66_L-Ctx	255	0	0	255	L	Default	9	571	L_TGd_ROI
132	132	Default-67_L-Ctx	255	0	0	255	L	Default	9	572	L_TE1a_ROI
133	133	Frontoparietal-45_L-Ctx	255	255	0	255	L	Frontoparietal	7	415	L_TE1p_ROI
134	134	Default-68_L-Ctx	255	0	0	255	L	Default	9	573	L_TE2a_ROI
135	135	Ventral-Multimodal-04_L-Ctx	255	157	0	255	L	Ventral-Multimodal	11	689	L_TF_ROI
136	136	Dorsal-Attention-20_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	323	L_TE2p_ROI
137	137	Dorsal-Attention-21_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	324	L_PHT_ROI
138	138	Visual2-45_L-Ctx	100	0	255	255	L	Visual2	2	87	L_PH_ROI
139	139	Language-22_L-Ctx	0	155	155	255	L	Language	6	374	L_TPOJ1_ROI
140	140	Posterior-Multimodal-06_L-Ctx	177	89	40	255	L	Posterior-Multimodal	10	653	L_TPOJ2_ROI
141	141	Posterior-Multimodal-07_L-Ctx	177	89	40	255	L	Posterior-Multimodal	10	654	L_TPOJ3_ROI
142	142	Visual1-06_L-Ctx	0	0	255	255	L	Visual1	1	3	L_DVT_ROI
143	143	Dorsal-Attention-22_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	325	L_PGp_ROI
144	144	Frontoparietal-46_L-Ctx	255	255	0	255	L	Frontoparietal	7	416	L_IP2_ROI
145	145	Frontoparietal-47_L-Ctx	255	255	0	255	L	Frontoparietal	7	417	L_IP1_ROI
146	146	Dorsal-Attention-23_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	326	L_IP0_ROI
147	147	Cingulo-Opercular-50_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	240	L_PFop_ROI
148	148	Cingulo-Opercular-51_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	241	L_PF_ROI
149	149	Frontoparietal-48_L-Ctx	255	255	0	255	L	Frontoparietal	7	418	L_PFm_ROI
150	150	Default-69_L-Ctx	255	0	0	255	L	Default	9	574	L_PGi_ROI
151	151	Default-70_L-Ctx	255	0	0	255	L	Default	9	575	L_PGs_ROI
152	152	Visual2-46_L-Ctx	100	0	255	255	L	Visual2	2	88	L_V6A_ROI
153	153	Visual2-47_L-Ctx	100	0	255	255	L	Visual2	2	89	L_VMV1_ROI
154	154	Visual2-48_L-Ctx	100	0	255	255	L	Visual2	2	90	L_VMV3_ROI
155	155	Default-71_L-Ctx	255	0	0	255	L	Default	9	576	L_PHA2_ROI
156	156	Visual2-49_L-Ctx	100	0	255	255	L	Visual2	2	91	L_V4t_ROI
157	157	Visual2-50_L-Ctx	100	0	255	255	L	Visual2	2	92	L_FST_ROI
158	158	Visual2-51_L-Ctx	100	0	255	255	L	Visual2	2	93	L_V3CD_ROI
159	159	Visual2-52_L-Ctx	100	0	255	255	L	Visual2	2	94	L_LO3_ROI
160	160	Visual2-53_L-Ctx	100	0	255	255	L	Visual2	2	95	L_VMV2_ROI
161	161	Default-72_L-Ctx	255	0	0	255	L	Default	9	577	L_31pd_ROI
162	162	Default-73_L-Ctx	255	0	0	255	L	Default	9	578	L_31a_ROI
163	163	Visual2-54_L-Ctx	100	0	255	255	L	Visual2	2	96	L_VVC_ROI
164	164	Default-74_L-Ctx	255	0	0	255	L	Default	9	579	L_25_ROI
165	165	Default-75_L-Ctx	255	0	0	255	L	Default	9	580	L_s32_ROI
166	166	Orbito-Affective-06_L-Ctx	65	125	0	168	L	Orbito-Affective	12	698	L_pOFC_ROI
167	167	Cingulo-Opercular-52_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	242	L_PoI1_ROI
168	168	Somatomotor-39_L-Ctx	0	255	255	255	L	Somatomotor	3	171	L_Ig_ROI
169	169	Cingulo-Opercular-53_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	243	L_FOP5_ROI
170	170	Frontoparietal-49_L-Ctx	255	255	0	255	L	Frontoparietal	7	419	L_p10p_ROI
171	171	Frontoparietal-50_L-Ctx	255	255	0	255	L	Frontoparietal	7	420	L_p47r_ROI
172	172	Language-23_L-Ctx	0	155	155	255	L	Language	6	375	L_TGv_ROI
173	173	Auditory-13_L-Ctx	250	62	251	255	L	Auditory	8	502	L_MBelt_ROI
174	174	Auditory-14_L-Ctx	250	62	251	255	L	Auditory	8	503	L_LBelt_ROI
175	175	Auditory-15_L-Ctx	250	62	251	255	L	Auditory	8	504	L_A4_ROI
176	176	Default-76_L-Ctx	255	0	0	255	L	Default	9	581	L_STSva_ROI
177	177	Default-77_L-Ctx	255	0	0	255	L	Default	9	582	L_TE1m_ROI
178	178	Cingulo-Opercular-54_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	244	L_PI_ROI
179	179	Cingulo-Opercular-55_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	245	L_a32pr_ROI
180	180	Cingulo-Opercular-56_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	246	L_p24_ROI
181	181	Visual1-01_R-Ctx	0	0	255	255	R	Visual1	1	4	R_V1_ROI
182	182	Visual2-01_R-Ctx	100	0	255	255	R	Visual2	2	97	R_MST_ROI
183	183	Visual2-02_R-Ctx	100	0	255	255	R	Visual2	2	98	R_V6_ROI
184	184	Visual2-03_R-Ctx	100	0	255	255	R	Visual2	2	99	R_V2_ROI
185	185	Visual2-04_R-Ctx	100	0	255	255	R	Visual2	2	100	R_V3_ROI
186	186	Visual2-05_R-Ctx	100	0	255	255	R	Visual2	2	101	R_V4_ROI
187	187	Visual2-06_R-Ctx	100	0	255	255	R	Visual2	2	102	R_V8_ROI
188	188	Somatomotor-01_R-Ctx	0	255	255	255	R	Somatomotor	3	172	R_4_ROI
189	189	Somatomotor-02_R-Ctx	0	255	255	255	R	Somatomotor	3	173	R_3b_ROI
190	190	Cingulo-Opercular-01_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	247	R_FEF_ROI
191	191	Cingulo-Opercular-02_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	248	R_PEF_ROI
192	192	Language-01_R-Ctx	0	155	155	255	R	Language	6	376	R_55b_ROI
193	193	Visual2-07_R-Ctx	100	0	255	255	R	Visual2	2	103	R_V3A_ROI
194	194	Frontoparietal-01_R-Ctx	255	255	0	255	R	Frontoparietal	7	421	R_RSC_ROI
195	195	Frontoparietal-02_R-Ctx	255	255	0	255	R	Frontoparietal	7	422	R_POS2_ROI
196	196	Visual2-08_R-Ctx	100	0	255	255	R	Visual2	2	104	R_V7_ROI
197	197	Visual2-09_R-Ctx	100	0	255	255	R	Visual2	2	105	R_IPS1_ROI
198	198	Visual2-10_R-Ctx	100	0	255	255	R	Visual2	2	106	R_FFC_ROI
199	199	Visual2-11_R-Ctx	100	0	255	255	R	Visual2	2	107	R_V3B_ROI
200	200	Visual2-12_R-Ctx	100	0	255	255	R	Visual2	2	108	R_LO1_ROI
201	201	Visual2-13_R-Ctx	100	0	255	255	R	Visual2	2	109	R_LO2_ROI
202	202	Visual2-14_R-Ctx	100	0	255	255	R	Visual2	2	110	R_PIT_ROI
203	203	Visual2-15_R-Ctx	100	0	255	255	R	Visual2	2	111	R_MT_ROI
204	204	Auditory-01_R-Ctx	250	62	251	255	R	Auditory	8	505	R_A1_ROI
205	205	Cingulo-Opercular-03_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	249	R_PSL_ROI
206	206	Language-02_R-Ctx	0	155	155	255	R	Language	6	377	R_SFL_ROI
207	207	Posterior-Multimodal-01_R-Ctx	177	89	40	255	R	Posterior-Multimodal	10	655	R_PCV_ROI
208	208	Posterior-Multimodal-02_R-Ctx	177	89	40	255	R	Posterior-Multimodal	10	656	R_STV_ROI
209	209	Frontoparietal-03_R-Ctx	255	255	0	255	R	Frontoparietal	7	423	R_7Pm_ROI
210	210	Default-01_R-Ctx	255	0	0	255	R	Default	9	583	R_7m_ROI
211	211	Default-02_R-Ctx	255	0	0	255	R	Default	9	584	R_POS1_ROI
212	212	Default-03_R-Ctx	255	0	0	255	R	Default	9	585	R_23d_ROI
213	213	Default-04_R-Ctx	255	0	0	255	R	Default	9	586	R_v23ab_ROI
214	214	Default-05_R-Ctx	255	0	0	255	R	Default	9	587	R_d23ab_ROI
215	215	Default-06_R-Ctx	255	0	0	255	R	Default	9	588	R_31pv_ROI
216	216	Somatomotor-03_R-Ctx	0	255	255	255	R	Somatomotor	3	174	R_5m_ROI
217	217	Cingulo-Opercular-04_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	274	R_5mv_ROI
218	218	Cingulo-Opercular-05_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	275	R_23c_ROI
219	219	Somatomotor-04_R-Ctx	0	255	255	255	R	Somatomotor	3	175	R_5L_ROI
220	220	Somatomotor-05_R-Ctx	0	255	255	255	R	Somatomotor	3	176	R_24dd_ROI
221	221	Somatomotor-06_R-Ctx	0	255	255	255	R	Somatomotor	3	177	R_24dv_ROI
222	222	Somatomotor-07_R-Ctx	0	255	255	255	R	Somatomotor	3	178	R_7AL_ROI
223	223	Cingulo-Opercular-06_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	250	R_SCEF_ROI
224	224	Cingulo-Opercular-07_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	251	R_6ma_ROI
225	225	Cingulo-Opercular-08_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	252	R_7Am_ROI
226	226	Dorsal-Attention-01_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	327	R_7PL_ROI
227	227	Somatomotor-08_R-Ctx	0	255	255	255	R	Somatomotor	3	179	R_7PC_ROI
228	228	Visual2-16_R-Ctx	100	0	255	255	R	Visual2	2	112	R_LIPv_ROI
229	229	Visual2-17_R-Ctx	100	0	255	255	R	Visual2	2	113	R_VIP_ROI
230	230	Dorsal-Attention-02_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	328	R_MIP_ROI
231	231	Somatomotor-09_R-Ctx	0	255	255	255	R	Somatomotor	3	180	R_1_ROI
232	232	Somatomotor-10_R-Ctx	0	255	255	255	R	Somatomotor	3	181	R_2_ROI
233	233	Somatomotor-11_R-Ctx	0	255	255	255	R	Somatomotor	3	182	R_3a_ROI
234	234	Somatomotor-12_R-Ctx	0	255	255	255	R	Somatomotor	3	183	R_6d_ROI
235	235	Somatomotor-13_R-Ctx	0	255	255	255	R	Somatomotor	3	184	R_6mp_ROI
236	236	Somatomotor-14_R-Ctx	0	255	255	255	R	Somatomotor	3	185	R_6v_ROI
237	237	Cingulo-Opercular-09_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	253	R_p24pr_ROI
238	238	Frontoparietal-04_R-Ctx	255	255	0	255	R	Frontoparietal	7	424	R_33pr_ROI
239	239	Cingulo-Opercular-10_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	254	R_a24pr_ROI
240	240	Cingulo-Opercular-11_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	255	R_p32pr_ROI
241	241	Default-07_R-Ctx	255	0	0	255	R	Default	9	589	R_a24_ROI
242	242	Frontoparietal-05_R-Ctx	255	255	0	255	R	Frontoparietal	7	425	R_d32_ROI
243	243	Frontoparietal-06_R-Ctx	255	255	0	255	R	Frontoparietal	7	426	R_8BM_ROI
244	244	Default-08_R-Ctx	255	0	0	255	R	Default	9	590	R_p32_ROI
245	245	Default-09_R-Ctx	255	0	0	255	R	Default	9	591	R_10r_ROI
246	246	Default-10_R-Ctx	255	0	0	255	R	Default	9	592	R_47m_ROI
247	247	Default-11_R-Ctx	255	0	0	255	R	Default	9	593	R_8Av_ROI
248	248	Default-12_R-Ctx	255	0	0	255	R	Default	9	594	R_8Ad_ROI
249	249	Default-13_R-Ctx	255	0	0	255	R	Default	9	595	R_9m_ROI
250	250	Default-14_R-Ctx	255	0	0	255	R	Default	9	596	R_8BL_ROI
251	251	Default-15_R-Ctx	255	0	0	255	R	Default	9	597	R_9p_ROI
252	252	Default-16_R-Ctx	255	0	0	255	R	Default	9	598	R_10d_ROI
253	253	Frontoparietal-07_R-Ctx	255	255	0	255	R	Frontoparietal	7	427	R_8C_ROI
254	254	Frontoparietal-08_R-Ctx	255	255	0	255	R	Frontoparietal	7	428	R_44_ROI
255	255	Language-03_R-Ctx	0	155	155	255	R	Language	6	378	R_45_ROI
256	256	Default-17_R-Ctx	255	0	0	255	R	Default	9	599	R_47l_ROI
257	257	Frontoparietal-09_R-Ctx	255	255	0	255	R	Frontoparietal	7	429	R_a47r_ROI
258	258	Cingulo-Opercular-12_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	256	R_6r_ROI
259	259	Language-04_R-Ctx	0	155	155	255	R	Language	6	379	R_IFJa_ROI
260	260	Frontoparietal-10_R-Ctx	255	255	0	255	R	Frontoparietal	7	430	R_IFJp_ROI
261	261	Frontoparietal-11_R-Ctx	255	255	0	255	R	Frontoparietal	7	431	R_IFSp_ROI
262	262	Cingulo-Opercular-13_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	257	R_IFSa_ROI
263	263	Frontoparietal-12_R-Ctx	255	255	0	255	R	Frontoparietal	7	432	R_p9-46v_ROI
264	264	Cingulo-Opercular-14_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	258	R_46_ROI
265	265	Frontoparietal-13_R-Ctx	255	255	0	255	R	Frontoparietal	7	433	R_a9-46v_ROI
266	266	Cingulo-Opercular-15_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	259	R_9-46d_ROI
267	267	Default-18_R-Ctx	255	0	0	255	R	Default	9	600	R_9a_ROI
268	268	Default-19_R-Ctx	255	0	0	255	R	Default	9	601	R_10v_ROI
269	269	Frontoparietal-14_R-Ctx	255	255	0	255	R	Frontoparietal	7	434	R_a10p_ROI
270	270	Default-20_R-Ctx	255	0	0	255	R	Default	9	602	R_10pp_ROI
271	271	Frontoparietal-15_R-Ctx	255	255	0	255	R	Frontoparietal	7	435	R_11l_ROI
272	272	Frontoparietal-16_R-Ctx	255	255	0	255	R	Frontoparietal	7	436	R_13l_ROI
273	273	Frontoparietal-17_R-Ctx	255	255	0	255	R	Frontoparietal	7	437	R_OFC_ROI
274	274	Default-21_R-Ctx	255	0	0	255	R	Default	9	603	R_47s_ROI
275	275	Dorsal-Attention-03_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	329	R_LIPd_ROI
276	276	Dorsal-Attention-04_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	330	R_6a_ROI
277	277	Frontoparietal-18_R-Ctx	255	255	0	255	R	Frontoparietal	7	438	R_i6-8_ROI
