INDEX	KEYVALUE	LABEL	RED	GREEN	BLUE	ALPHA	HEMISPHERE	NETWORK	NETWORKKEY	NETWORKSORTEDORDER	GLASSERLABELNAME
40	40	Somatomotor-25_L-Ctx	0	255	255	255	L	Somatomotor	3	141	L_24dd_ROI
41	41	Somatomotor-26_L-Ctx	0	255	255	255	L	Somatomotor	3	142	L_24dv_ROI
42	42	Somatomotor-27_L-Ctx	0	255	255	255	L	Somatomotor	3	143	L_7AL_ROI
43	43	Cingulo-Opercular-33_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	207	L_SCEF_ROI
44	44	Cingulo-Opercular-34_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	208	L_6ma_ROI
45	45	Cingulo-Opercular-35_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	209	L_7Am_ROI
46	46	Dorsal-Attention-13_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	280	L_7PL_ROI
47	47	Somatomotor-28_L-Ctx	0	255	255	255	L	Somatomotor	3	144	L_7PC_ROI
48	48	Visual2-43_L-Ctx	100	0	255	255	L	Visual2	2	62	L_LIPv_ROI
49	49	Visual2-44_L-Ctx	100	0	255	255	L	Visual2	2	63	L_VIP_ROI
50	50	Dorsal-Attention-14_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	281	L_MIP_ROI
51	51	Somatomotor-29_L-Ctx	0	255	255	255	L	Somatomotor	3	145	L_1_ROI
52	52	Somatomotor-30_L-Ctx	0	255	255	255	L	Somatomotor	3	146	L_2_ROI
53	53	Somatomotor-31_L-Ctx	0	255	255	255	L	Somatomotor	3	147	L_3a_ROI
54	54	Somatomotor-32_L-Ctx	0	255	255	255	L	Somatomotor	3	148	L_6d_ROI
55	55	Somatomotor-33_L-Ctx	0	255	255	255	L	Somatomotor	3	149	L_6mp_ROI
56	56	Somatomotor-34_L-Ctx	0	255	255	255	L	Somatomotor	3	150	L_6v_ROI
57	57	Cingulo-Opercular-36_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	210	L_p24pr_ROI
58	58	Cingulo-Opercular-37_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	211	L_33pr_ROI
59	59	Cingulo-Opercular-38_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	212	L_a24pr_ROI
60	60	Cingulo-Opercular-39_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	213	L_p32pr_ROI
61	61	Default-44_L-Ctx	255	0	0	255	L	Default	9	478	L_a24_ROI
62	62	Default-45_L-Ctx	255	0	0	255	L	Default	9	479	L_d32_ROI
63	63	Frontoparietal-32_L-Ctx	255	255	0	255	L	Frontoparietal	7	364	L_8BM_ROI
64	64	Default-46_L-Ctx	255	0	0	255	L	Default	9	480	L_p32_ROI
65	65	Default-47_L-Ctx	255	0	0	255	L	Default	9	481	L_10r_ROI
66	66	Default-48_L-Ctx	255	0	0	255	L	Default	9	482	L_47m_ROI
67	67	Default-49_L-Ctx	255	0	0	255	L	Default	9	483	L_8Av_ROI
68	68	Default-50_L-Ctx	255	0	0	255	L	Default	9	484	L_8Ad_ROI
69	69	Default-51_L-Ctx	255	0	0	255	L	Default	9	485	L_9m_ROI
70	70	Default-52_L-Ctx	255	0	0	255	L	Default	9	486	L_8BL_ROI
71	71	Default-53_L-Ctx	255	0	0	255	L	Default	9	487	L_9p_ROI
72	72	Default-54_L-Ctx	255	0	0	255	L	Default	9	488	L_10d_ROI
73	73	Frontoparietal-33_L-Ctx	255	255	0	255	L	Frontoparietal	7	365	L_8C_ROI
74	74	Language-14_L-Ctx	0	155	155	255	L	Language	6	332	L_44_ROI
75	75	Language-15_L-Ctx	0	155	155	255	L	Language	6	333	L_45_ROI
76	76	Default-55_L-Ctx	255	0	0	255	L	Default	9	489	L_47l_ROI
77	77	Frontoparietal-34_L-Ctx	255	255	0	255	L	Frontoparietal	7	366	L_a47r_ROI
78	78	Cingulo-Opercular-40_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	214	L_6r_ROI
79	79	Language-16_L-Ctx	0	155	155	255	L	Language	6	334	L_IFJa_ROI
80	80	Frontoparietal-35_L-Ctx	255	255	0	255	L	Frontoparietal	7	367	L_IFJp_ROI
81	81	Language-17_L-Ctx	0	155	155	255	L	Language	6	335	L_IFSp_ROI
82	82	Frontoparietal-36_L-Ctx	255	255	0	255	L	Frontoparietal	7	368	L_IFSa_ROI
83	83	Frontoparietal-37_L-Ctx	255	255	0	255	L	Frontoparietal	7	369	L_p9-46v_ROI
84	84	Cingulo-Opercular-41_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	215	L_46_ROI
85	85	Frontoparietal-38_L-Ctx	255	255	0	255	L	Frontoparietal	7	370	L_a9-46v_ROI
86	86	Cingulo-Opercular-42_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	216	L_9-46d_ROI
87	87	Default-56_L-Ctx	255	0	0	255	L	Default	9	490	L_9a_ROI
88	88	Default-57_L-Ctx	255	0	0	255	L	Default	9	491	L_10v_ROI
89	89	Frontoparietal-39_L-Ctx	255	255	0	255	L	Frontoparietal	7	371	L_a10p_ROI
90	90	Default-58_L-Ctx	255	0	0	255	L	Default	9	492	L_10pp_ROI
91	91	Frontoparietal-40_L-Ctx	255	255	0	255	L	Frontoparietal	7	372	L_11l_ROI
92	92	Frontoparietal-41_L-Ctx	255	255	0	255	L	Frontoparietal	7	373	L_13l_ROI
93	93	Default-59_L-Ctx	255	0	0	255	L	Default	9	493	L_OFC_ROI
94	94	Default-60_L-Ctx	255	0	0	255	L	Default	9	494	L_47s_ROI
95	95	Dorsal-Attention-15_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	282	L_LIPd_ROI
96	96	Dorsal-Attention-16_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	283	L_6a_ROI
97	97	Frontoparietal-42_L-Ctx	255	255	0	255	L	Frontoparietal	7	374	L_i6-8_ROI
98	98	Frontoparietal-43_L-Ctx	255	255	0	255	L	Frontoparietal	7	375	L_s6-8_ROI
99	99	Cingulo-Opercular-43_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	217	L_43_ROI
100	100	Somatomotor-35_L-Ctx	0	255	255	255	L	Somatomotor	3	151	L_OP4_ROI
101	101	Somatomotor-36_L-Ctx	0	255	255	255	L	Somatomotor	3	152	L_OP1_ROI
102	102	Somatomotor-37_L-Ctx	0	255	255	255	L	Somatomotor	3	153	L_OP2-3_ROI
103	103	Auditory-09_L-Ctx	250	62	251	255	L	Auditory	8	447	L_52_ROI
104	104	Auditory-10_L-Ctx	250	62	251	255	L	Auditory	8	448	L_RI_ROI
105	105	Cingulo-Opercular-44_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	218	L_PFcm_ROI
106	106	Cingulo-Opercular-45_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	219	L_PoI2_ROI
107	107	Auditory-11_L-Ctx	250	62	251	255	L	Auditory	8	449	L_TA2_ROI
108	108	Cingulo-Opercular-46_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	220	L_FOP4_ROI
109	109	Cingulo-Opercular-47_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	221	L_MI_ROI
110	110	Orbito-Affective-04_L-Ctx	65	125	0	168	L	Orbito-Affective	12	625	L_Pir_ROI
111	111	Frontoparietal-44_L-Ctx	255	255	0	255	L	Frontoparietal	7	376	L_AVI_ROI
112	112	Orbito-Affective-05_L-Ctx	65	125	0	168	L	Orbito-Affective	12	626	L_AAIC_ROI
113	113	Cingulo-Opercular-48_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	222	L_FOP1_ROI
114	114	Cingulo-Opercular-49_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	223	L_FOP3_ROI
115	115	Somatomotor-38_L-Ctx	0	255	255	255	L	Somatomotor	3	154	L_FOP2_ROI
116	116	Dorsal-Attention-17_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	284	L_PFt_ROI
117	117	Dorsal-Attention-18_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	285	L_AIP_ROI
118	118	Default-61_L-Ctx	255	0	0	255	L	Default	9	495	L_EC_ROI
119	119	Default-62_L-Ctx	255	0	0	255	L	Default	9	496	L_PreS_ROI
120	120	Default-63_L-Ctx	255	0	0	255	L	Default	9	497	L_H_ROI
121	121	Visual1-05_L-Ctx	0	0	255	255	L	Visual1	1	2	L_ProS_ROI
122	122	Ventral-Multimodal-03_L-Ctx	255	157	0	255	L	Ventral-Multimodal	11	617	L_PeEc_ROI
123	123	Language-18_L-Ctx	0	155	155	255	L	Language	6	336	L_STGa_ROI
124	124	Auditory-12_L-Ctx	250	62	251	255	L	Auditory	8	450	L_PBelt_ROI
125	125	Language-19_L-Ctx	0	155	155	255	L	Language	6	337	L_A5_ROI
126	126	Default-64_L-Ctx	255	0	0	255	L	Default	9	498	L_PHA1_ROI
127	127	Dorsal-Attention-19_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	286	L_PHA3_ROI
128	128	Language-20_L-Ctx	0	155	155	255	L	Language	6	338	L_STSda_ROI
129	129	Language-21_L-Ctx	0	155	155	255	L	Language	6	339	L_STSdp_ROI
130	130	Default-65_L-Ctx	255	0	0	255	L	Default	9	499	L_STSvp_ROI
131	131	Default-66_L-Ctx	255	0	0	255	L	Default	9	500	L_TGd_ROI
132	132	Default-67_L-Ctx	255	0	0	255	L	Default	9	501	L_TE1a_ROI
133	133	Frontoparietal-45_L-Ctx	255	255	0	255	L	Frontoparietal	7	377	L_TE1p_ROI
134	134	Default-68_L-Ctx	255	0	0	255	L	Default	9	502	L_TE2a_ROI
135	135	Ventral-Multimodal-04_L-Ctx	255	157	0	255	L	Ventral-Multimodal	11	618	L_TF_ROI
136	136	Dorsal-Attention-20_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	287	L_TE2p_ROI
137	137	Dorsal-Attention-21_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	288	L_PHT_ROI
138	138	Visual2-45_L-Ctx	100	0	255	255	L	Visual2	2	64	L_PH_ROI
139	139	Language-22_L-Ctx	0	155	155	255	L	Language	6	340	L_TPOJ1_ROI
140	140	Posterior-Multimodal-06_L-Ctx	177	89	40	255	L	Posterior-Multimodal	10	577	L_TPOJ2_ROI
141	141	Posterior-Multimodal-07_L-Ctx	177	89	40	255	L	Posterior-Multimodal	10	578	L_TPOJ3_ROI
142	142	Visual1-06_L-Ctx	0	0	255	255	L	Visual1	1	3	L_DVT_ROI
143	143	Dorsal-Attention-22_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	289	L_PGp_ROI
144	144	Frontoparietal-46_L-Ctx	255	255	0	255	L	Frontoparietal	7	378	L_IP2_ROI
145	145	Frontoparietal-47_L-Ctx	255	255	0	255	L	Frontoparietal	7	379	L_IP1_ROI
146	146	Dorsal-Attention-23_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	290	L_IP0_ROI
147	147	Cingulo-Opercular-50_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	224	L_PFop_ROI
148	148	Cingulo-Opercular-51_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	225	L_PF_ROI
149	149	Frontoparietal-48_L-Ctx	255	255	0	255	L	Frontoparietal	7	380	L_PFm_ROI
150	150	Default-69_L-Ctx	255	0	0	255	L	Default	9	503	L_PGi_ROI
151	151	Default-70_L-Ctx	255	0	0	255	L	Default	9	504	L_PGs_ROI
152	152	Visual2-46_L-Ctx	100	0	255	255	L	Visual2	2	65	L_V6A_ROI
153	153	Visual2-47_L-Ctx	100	0	255	255	L	Visual2	2	66	L_VMV1_ROI
154	154	Visual2-48_L-Ctx	100	0	255	255	L	Visual2	2	67	L_VMV3_ROI
155	155	Default-71_L-Ctx	255	0	0	255	L	Default	9	505	L_PHA2_ROI
156	156	Visual2-49_L-Ctx	100	0	255	255	L	Visual2	2	68	L_V4t_ROI
157	157	Visual2-50_L-Ctx	100	0	255	255	L	Visual2	2	69	L_FST_ROI
158	158	Visual2-51_L-Ctx	100	0	255	255	L	Visual2	2	70	L_V3CD_ROI
159	159	Visual2-52_L-Ctx	100	0	255	255	L	Visual2	2	71	L_LO3_ROI
160	160	Visual2-53_L-Ctx	100	0	255	255	L	Visual2	2	72	L_VMV2_ROI
161	161	Default-72_L-Ctx	255	0	0	255	L	Default	9	506	L_31pd_ROI
162	162	Default-73_L-Ctx	255	0	0	255	L	Default	9	507	L_31a_ROI
163	163	Visual2-54_L-Ctx	100	0	255	255	L	Visual2	2	73	L_VVC_ROI
164	164	Default-74_L-Ctx	255	0	0	255	L	Default	9	508	L_25_ROI
165	165	Default-75_L-Ctx	255	0	0	255	L	Default	9	509	L_s32_ROI
166	166	Orbito-Affective-06_L-Ctx	65	125	0	168	L	Orbito-Affective	12	627	L_pOFC_ROI
167	167	Cingulo-Opercular-52_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	226	L_PoI1_ROI
168	168	Somatomotor-39_L-Ctx	0	255	255	255	L	Somatomotor	3	155	L_Ig_ROI
169	169	Cingulo-Opercular-53_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	227	L_FOP5_ROI
170	170	Frontoparietal-49_L-Ctx	255	255	0	255	L	Frontoparietal	7	381	L_p10p_ROI
171	171	Frontoparietal-50_L-Ctx	255	255	0	255	L	Frontoparietal	7	382	L_p47r_ROI
172	172	Language-23_L-Ctx	0	155	155	255	L	Language	6	341	L_TGv_ROI
173	173	Auditory-13_L-Ctx	250	62	251	255	L	Auditory	8	451	L_MBelt_ROI
174	174	Auditory-14_L-Ctx	250	62	251	255	L	Auditory	8	452	L_LBelt_ROI
175	175	Auditory-15_L-Ctx	250	62	251	255	L	Auditory	8	453	L_A4_ROI
176	176	Default-76_L-Ctx	255	0	0	255	L	Default	9	510	L_STSva_ROI
177	177	Default-77_L-Ctx	255	0	0	255	L	Default	9	511	L_TE1m_ROI
178	178	Cingulo-Opercular-54_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	228	L_PI_ROI
179	179	Cingulo-Opercular-55_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	229	L_a32pr_ROI
180	180	Cingulo-Opercular-56_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	230	L_p24_ROI
181	181	Visual1-01_R-Ctx	0	0	255	255	R	Visual1	1	4	R_V1_ROI
182	182	Visual2-01_R-Ctx	100	0	255	255	R	Visual2	2	74	R_MST_ROI
183	183	Visual2-02_R-Ctx	100	0	255	255	R	Visual2	2	75	R_V6_ROI
184	184	Visual2-03_R-Ctx	100	0	255	255	R	Visual2	2	76	R_V2_ROI
185	185	Visual2-04_R-Ctx	100	0	255	255	R	Visual2	2	77	R_V3_ROI
186	186	Visual2-05_R-Ctx	100	0	255	255	R	Visual2	2	78	R_V4_ROI
187	187	Visual2-06_R-Ctx	100	0	255	255	R	Visual2	2	79	R_V8_ROI
188	188	Somatomotor-01_R-Ctx	0	255	255	255	R	Somatomotor	3	156	R_4_ROI
189	189	Somatomotor-02_R-Ctx	0	255	255	255	R	Somatomotor	3	157	R_3b_ROI
190	190	Cingulo-Opercular-01_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	231	R_FEF_ROI
191	191	Cingulo-Opercular-02_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	232	R_PEF_ROI
192	192	Language-01_R-Ctx	0	155	155	255	R	Language	6	342	R_55b_ROI
193	193	Visual2-07_R-Ctx	100	0	255	255	R	Visual2	2	80	R_V3A_ROI
194	194	Frontoparietal-01_R-Ctx	255	255	0	255	R	Frontoparietal	7	383	R_RSC_ROI
195	195	Frontoparietal-02_R-Ctx	255	255	0	255	R	Frontoparietal	7	384	R_POS2_ROI
196	196	Visual2-08_R-Ctx	100	0	255	255	R	Visual2	2	81	R_V7_ROI
197	197	Visual2-09_R-Ctx	100	0	255	255	R	Visual2	2	82	R_IPS1_ROI
198	198	Visual2-10_R-Ctx	100	0	255	255	R	Visual2	2	83	R_FFC_ROI
199	199	Visual2-11_R-Ctx	100	0	255	255	R	Visual2	2	84	R_V3B_ROI
200	200	Visual2-12_R-Ctx	100	0	255	255	R	Visual2	2	85	R_LO1_ROI
201	201	Visual2-13_R-Ctx	100	0	255	255	R	Visual2	2	86	R_LO2_ROI
202	202	Visual2-14_R-Ctx	100	0	255	255	R	Visual2	2	87	R_PIT_ROI
203	203	Visual2-15_R-Ctx	100	0	255	255	R	Visual2	2	88	R_MT_ROI
204	204	Auditory-01_R-Ctx	250	62	251	255	R	Auditory	8	454	R_A1_ROI
205	205	Cingulo-Opercular-03_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	233	R_PSL_ROI
206	206	Language-02_R-Ctx	0	155	155	255	R	Language	6	343	R_SFL_ROI
207	207	Posterior-Multimodal-01_R-Ctx	177	89	40	255	R	Posterior-Multimodal	10	579	R_PCV_ROI
208	208	Posterior-Multimodal-02_R-Ctx	177	89	40	255	R	Posterior-Multimodal	10	580	R_STV_ROI
209	209	Frontoparietal-03_R-Ctx	255	255	0	255	R	Frontoparietal	7	385	R_7Pm_ROI
210	210	Default-01_R-Ctx	255	0	0	255	R	Default	9	512	R_7m_ROI
211	211	Default-02_R-Ctx	255	0	0	255	R	Default	9	513	R_POS1_ROI
212	212	Default-03_R-Ctx	255	0	0	255	R	Default	9	514	R_23d_ROI
213	213	Default-04_R-Ctx	255	0	0	255	R	Default	9	515	R_v23ab_ROI
214	214	Default-05_R-Ctx	255	0	0	255	R	Default	9	516	R_d23ab_ROI
215	215	Default-06_R-Ctx	255	0	0	255	R	Default	9	517	R_31pv_ROI
216	216	Somatomotor-03_R-Ctx	0	255	255	255	R	Somatomotor	3	158	R_5m_ROI
217	217	Cingulo-Opercular-04_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	234	R_5mv_ROI
218	218	Cingulo-Opercular-05_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	235	R_23c_ROI
219	219	Somatomotor-04_R-Ctx	0	255	255	255	R	Somatomotor	3	159	R_5L_ROI
220	220	Somatomotor-05_R-Ctx	0	255	255	255	R	Somatomotor	3	160	R_24dd_ROI
221	221	Somatomotor-06_R-Ctx	0	255	255	255	R	Somatomotor	3	161	R_24dv_ROI
222	222	Somatomotor-07_R-Ctx	0	255	255	255	R	Somatomotor	3	162	R_7AL_ROI
223	223	Cingulo-Opercular-06_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	236	R_SCEF_ROI
224	224	Cingulo-Opercular-07_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	237	R_6ma_ROI
225	225	Cingulo-Opercular-08_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	238	R_7Am_ROI
226	226	Dorsal-Attention-01_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	291	R_7PL_ROI
227	227	Somatomotor-08_R-Ctx	0	255	255	255	R	Somatomotor	3	163	R_7PC_ROI
228	228	Visual2-16_R-Ctx	100	0	255	255	R	Visual2	2	89	R_LIPv_ROI
229	229	Visual2-17_R-Ctx	100	0	255	255	R	Visual2	2	90	R_VIP_ROI
230	230	Dorsal-Attention-02_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	292	R_MIP_ROI
231	231	Somatomotor-09_R-Ctx	0	255	255	255	R	Somatomotor	3	164	R_1_ROI
232	232	Somatomotor-10_R-Ctx	0	255	255	255	R	Somatomotor	3	165	R_2_ROI
233	233	Somatomotor-11_R-Ctx	0	255	255	255	R	Somatomotor	3	166	R_3a_ROI
234	234	Somatomotor-12_R-Ctx	0	255	255	255	R	Somatomotor	3	167	R_6d_ROI
235	235	Somatomotor-13_R-Ctx	0	255	255	255	R	Somatomotor	3	168	R_6mp_ROI
236	236	Somatomotor-14_R-Ctx	0	255	255	255	R	Somatomotor	3	169	R_6v_ROI
237	237	Cingulo-Opercular-09_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	239	R_p24pr_ROI
238	238	Frontoparietal-04_R-Ctx	255	255	0	255	R	Frontoparietal	7	386	R_33pr_ROI
239	239	Cingulo-Opercular-10_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	240	R_a24pr_ROI
240	240	Cingulo-Opercular-11_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	241	R_p32pr_ROI
241	241	Default-07_R-Ctx	255	0	0	255	R	Default	9	518	R_a24_ROI
242	242	Frontoparietal-05_R-Ctx	255	255	0	255	R	Frontoparietal	7	387	R_d32_ROI
243	243	Frontoparietal-06_R-Ctx	255	255	0	255	R	Frontoparietal	7	388	R_8BM_ROI
244	244	Default-08_R-Ctx	255	0	0	255	R	Default	9	519	R_p32_ROI
245	245	Default-09_R-Ctx	255	0	0	255	R	Default	9	520	R_10r_ROI
246	246	Default-10_R-Ctx	255	0	0	255	R	Default	9	521	R_47m_ROI
247	247	Default-11_R-Ctx	255	0	0	255	R	Default	9	522	R_8Av_ROI
248	248	Default-12_R-Ctx	255	0	0	255	R	Default	9	523	R_8Ad_ROI
249	249	Default-13_R-Ctx	255	0	0	255	R	Default	9	524	R_9m_ROI
250	250	Default-14_R-Ctx	255	0	0	255	R	Default	9	525	R_8BL_ROI
251	251	Default-15_R-Ctx	255	0	0	255	R	Default	9	526	R_9p_ROI
252	252	Default-16_R-Ctx	255	0	0	255	R	Default	9	527	R_10d_ROI
253	253	Frontoparietal-07_R-Ctx	255	255	0	255	R	Frontoparietal	7	389	R_8C_ROI
254	254	Frontoparietal-08_R-Ctx	255	255	0	255	R	Frontoparietal	7	390	R_44_ROI
255	255	Language-03_R-Ctx	0	155	155	255	R	Language	6	344	R_45_ROI
256	256	Default-17_R-Ctx	255	0	0	255	R	Default	9	528	R_47l_ROI
257	257	Frontoparietal-09_R-Ctx	255	255	0	255	R	Frontoparietal	7	391	R_a47r_ROI
258	258	Cingulo-Opercular-12_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	242	R_6r_ROI
259	259	Language-04_R-Ctx	0	155	155	255	R	Language	6	345	R_IFJa_ROI
260	260	Frontoparietal-10_R-Ctx	255	255	0	255	R	Frontoparietal	7	392	R_IFJp_ROI
261	261	Frontoparietal-11_R-Ctx	255	255	0	255	R	Frontoparietal	7	393	R_IFSp_ROI
262	262	Cingulo-Opercular-13_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	243	R_IFSa_ROI
263	263	Frontoparietal-12_R-Ctx	255	255	0	255	R	Frontoparietal	7	394	R_p9-46v_ROI
264	264	Cingulo-Opercular-14_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	244	R_46_ROI
265	265	Frontoparietal-13_R-Ctx	255	255	0	255	R	Frontoparietal	7	395	R_a9-46v_ROI
266	266	Cingulo-Opercular-15_R-Ctx	153	0	153	255	R	Cingulo-Opercular	4	245	R_9-46d_ROI
267	267	Default-18_R-Ctx	255	0	0	255	R	Default	9	529	R_9a_ROI
268	268	Default-19_R-Ctx	255	0	0	255	R	Default	9	530	R_10v_ROI
269	269	Frontoparietal-14_R-Ctx	255	255	0	255	R	Frontoparietal	7	396	R_a10p_ROI
270	270	Default-20_R-Ctx	255	0	0	255	R	Default	9	531	R_10pp_ROI
271	271	Frontoparietal-15_R-Ctx	255	255	0	255	R	Frontoparietal	7	397	R_11l_ROI
272	272	Frontoparietal-16_R-Ctx	255	255	0	255	R	Frontoparietal	7	398	R_13l_ROI
273	273	Frontoparietal-17_R-Ctx	255	255	0	255	R	Frontoparietal	7	399	R_OFC_ROI
274	274	Default-21_R-Ctx	255	0	0	255	R	Default	9	532	R_47s_ROI
275	275	Dorsal-Attention-03_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	293	R_LIPd_ROI
276	276	Dorsal-Attention-04_R-Ctx	0	255	0	255	R	Dorsal-Attention	5	294	R_6a_ROI
277	277	Frontoparietal-18_R-Ctx	255	255	0	255	R	Frontoparietal	7	400	R_i6-8_ROI
